nombretitulo,institucion,niveltitulo
PSICOLOGA CLINICA,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MEDICO ESPECIALISTA EN GASTROENTEROLOGIA,UNIVERSIDAD DEL SALVADOR BUENOS AIRES,CUARTO NIVEL
MAGISTER EN PSICOLOGIA MENCION EN INTERVENCION CLINICA INDIVIDUAL Y GRUPAL,UNIVERSIDAD POLITECNICA SALESIANA,CUARTO NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
DOCTORA EN ESTOMATOLOGIA,UNIVERSIDAD DE CIENCIAS MEDICAS DE HOLGUIN,TERCER NIVEL
MEDICA INTEGRAL COMUNITARIO,UNIVERSIDAD NACIONAL EXPERIMENTAL DE LOS LLANOS OCCIDENTALES EZEQUIEL ZAMORA,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
QUIMICO Y FARMACEUTICO ,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
LICENCIADA EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MEDICO ESPECIALISTA - ENDOCRINOLOGO,VORONEZH STATE MEDICAL UNIVERSITY M. M. BURDENKO,CUARTO NIVEL
LICENCIADA EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
TECNOLOGA MEDICA EN RADIOLOGIA,UNIVERSIDAD DE GUAYAQUIL,NIVEL TECNICO O TECNOLOGICO SUPERIOR
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
LICENCIADO EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN CIENCIAS DEL LABORATORIO CLINICO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,CUARTO NIVEL
MAESTRA EN GESTION DE LOS SERVICIOS DE LA SALUD,UNIVERSIDAD CÉSAR VALLEJO,CUARTO NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN GERENCIA DE SEGURIDAD Y SALUD EN EL TRABAJO,ESCUELA SUPERIOR POLITECNICA DEL LITORAL,CUARTO NIVEL
LICENCIADA EN PEDAGOGIA TERAPEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADA EN DIETETICA Y NUTRICION,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN CIENCIAS DEL LABORATORIO CLINICO,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,CUARTO NIVEL
ESPECIALISTA EN MEDICINA INTERNA,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
MASTER UNIVERSITARIO EN FISICA MEDICA,UNIVERSITAT DE VALÈNCIA,CUARTO NIVEL
PSICOLOGO CLINICO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
MAESTRA EN GESTION DE LOS SERVICIOS DE LA SALUD,UNIVERSIDAD CÉSAR VALLEJO,CUARTO NIVEL
ODONTOLOGO,UNIVERSIDAD JOSE ANTONIO PAEZ,TERCER NIVEL
LICENCIADO EN NUTRICION,ESCUELA SUPERIOR POLITECNICA DEL LITORAL,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA,"HOSPITAL ZONAL GENERAL DE AGUDOS ""MAGDALENA V. DE MARTINEZ"" DE PACHECO",CUARTO NIVEL
ESPECIALISTA EN ANESTESIOLOGIA,UNIVERSIDAD DE GUAYAQUIL,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA CLINICA,UNIVERSIDAD DEL AZUAY,TERCER NIVEL
PSICOLOGO CLINICO,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
ESPECIALISTA EN MEDICINA INTERNA,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,CUARTO NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
ODONTOLOGA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNICO SUPERIOR UNIVERSITARIO EN ENFERMERIA,INSTITUTO UNIVERSITARIO DE TECNOLOGIA RUFINO BLANCO FOMBONA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADA EN RADIOLOGIA E IMAGENOLOGIA,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,CUARTO NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
PSICOLOGO,UNIVERSIDAD RAFAEL URDANETA,TERCER NIVEL
ODONTOLOGA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNICO SUPERIOR DE ENFERMERIA,INSTITUTO TECNOLÓGICO SUPERIOR BOLIVARIANO DE TECNOLOGÍA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
ODONTOLOGO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
ESPECIALIDAD ORTOPEDIA Y TRAUMATOLOGIA,HOSPITAL BRITANICO,CUARTO NIVEL
ESPECIALIZACION EN ORTODONCIA,CENTRO UNIVERSITARIO DO NORTE DE SAO PAULO,CUARTO NIVEL
MAESTRO EN GESTION DE LOS SERVICIOS DE LA SALUD,UNIVERSIDAD CÉSAR VALLEJO,CUARTO NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNOLOGA MEDICA EN PEDAGOGIA TERAPEUTICA,UNIVERSIDAD DE GUAYAQUIL,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADA EN TERAPIA DE LENGUAJE,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
MAESTRA EN GESTION DE LOS SERVICIOS DE LA SALUD,UNIVERSIDAD CÉSAR VALLEJO,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,TERCER NIVEL
ESPECIALISTA EN HEMATOLOGIA,UNIVERSIDAD DE GUAYAQUIL,CUARTO NIVEL
ESPECIALISTA EN MEDICINA CRITICA,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
DOCTOR EN MEDICINA Y CIRUGIA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNICO SUPERIOR UNIVERSITARIO EN RADIODIAGNOSTICO,UNIVERSIDAD NACIONAL EXPERIMENTAL DE LOS LLANOS CENTRALES ROMULO GALLEGOS,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
DIPLOMA SUPERIOR EN GESTION DE DESARROLLO DE LOS SERVICIOS DE SALUD,UNIVERSIDAD TECNICA DE BABAHOYO,CUARTO NIVEL
QUIMICO Y FARMACEUTICO ,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
LICENCIADA EN PSICOLOGIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNOLOGOS EN ESTIMULACION TEMPRANA,UNIVERSIDAD CASA GRANDE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADA EN NUTRICION HUMANA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
MAESTRO EN GESTION DE LOS SERVICIOS DE LA SALUD,UNIVERSIDAD CÉSAR VALLEJO,CUARTO NIVEL
ESPECIALISTA EN GINECOLOGIA Y OBSTETRICIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
PSICOLOGO CLINICO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
ODONTOLOGO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN CIRUGIA TRAUMATOLOGIA Y ORTOPEDICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
PSICOLOGO,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
LICENCIADA EN TERAPIA OCUPACIONAL,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN ORTODONCIA,UNIVERSIDAD CATOLICA DE CUENCA,CUARTO NIVEL
PSICOLOGA INFANTIL Y PSICORREHABILITADORA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN NUTRICION Y DIETETICA,UNIVERSIDAD IBEROAMERICANA DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD TECNOLOGICA INDOAMERICA,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
DOCTORA EN PSICOLOGIA INFANTIL Y PSICOREHABILITACION,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADA EN LABORATORIO CLINICO E HISTOTECNOLOGICO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADA EN ATENCION PREHOSPITALARIA Y EN EMERGENCIAS,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MAGISTER EN SEGURIDAD SALUD Y AMBIENTE,UNIVERSIDAD SAN FRANCISCO DE QUITO,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD INTERNACIONAL DEL ECUADOR,TERCER NIVEL
PSICOLOGO MENCION CLINICO,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
LICENCIADO/A EN FONOAUDIOLOGIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD DEL PACIFICO ESCUELA DE NEGOCIOS,CUARTO NIVEL
MAGISTER EN ENFERMERIA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
DOCTORA EN MEDICINA Y CIRUGIA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADA EN RADIOLOGIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
SICOLOGA CLINICA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
LICENCIADO/A EN TERAPIA OCUPACIONAL,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN GESTION DE SERVICIOS DE SALUD,UNIVERSIDAD TECNICA DE BABAHOYO,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
LICENCIADO/A EN TERAPIA OCUPACIONAL,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
"ESPECIALISTA EN OPERATORIA DENTAL, ESTETICA Y MATERIALES DENTALES",UNIVERSIDAD EL BOSQUE,CUARTO NIVEL
ESPECIALISTA EN OBSTETRICIA Y GINECOLOGIA,UNIVERSIDAD CENTRAL DE VENEZUELA,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
ESPECIALISTA DE PRIMER GRADO EN PEDIATRIA,INSTITUTO SUPERIOR DE CIENCIAS MEDICAS DE SANTIAGO DE CUBA,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
MEDICO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MAGISTER EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
ODONTOLOGA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
MAGISTER EN NUTRICION Y DIETETICA,UNIVERSIDAD DE CUENCA,CUARTO NIVEL
PSICOLOGA,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
DOCTORA EN MEDICINA Y CIRUGIA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADO EN BIOANALISIS,UNIVERSIDAD DE CARABOBO,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD TECNICA DE BABAHOYO,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD TECNICA DEL NORTE,TERCER NIVEL
MAGISTER EN GERENCIA DE SERVICIOS DE SALUD,UNIVERSIDAD TECNICA DE BABAHOYO,CUARTO NIVEL
ESPECIALISTA EN DIAGNOSTICO POR IMAGENES,CLINICA DEL SOL,CUARTO NIVEL
MAGISTER EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA MEDICO EN REHABILITACION ORAL,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MEDICA ESPECIALISTA EN HEMOTERAPIA E INMUNOHEMATOLOGIA,UNIVERSIDAD DE BUENOS AIRES,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
ESPECIALISTA EN ENDODONCIA,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
MAESTRA EN GESTION DE LOS SERVICIOS DE LA SALUD,UNIVERSIDAD CÉSAR VALLEJO,CUARTO NIVEL
MEDICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
ESPECIALISTA EN CARDIOLOGIA,UNIVERSIDAD FAVALORO,CUARTO NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO TÉCNICO SUPERIOR LIBERTAD,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADA EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
ESPECIALIZACAO EM IMPLANTODONTIA,FACULDADE DO CENTRO OESTE PAULISTA FACOP,CUARTO NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD DE LAS AMERICAS,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
LICENCIADA EN CIENCIAS DE LA SALUD EN LABORATORIO CLINICO E HISTOPATOLOGICO,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
BIOQUIMICO FARMACEUTICO,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
PSICOLOGA CLINICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA,HOSPITAL MUNICIPAL DE VICENTE LOPEZ PROFESOR DR BERNARDO HOUSSAY,CUARTO NIVEL
ESPECIALISTA EN FISIOTERAPIA EN PACIENTE ADULTO CRITICO,UNIVERSIDAD DEL ROSARIO,CUARTO NIVEL
MEDICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADA EN PSICOLOGIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
ODONTOLOGO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
DOCTOR EN MEDICINA,INSTITUTO SUPERIOR DE CIENCIAS MEDICAS DE SANTIAGO DE CUBA,TERCER NIVEL
MAGISTER EN GERENCIA DE SALUD PARA EL DESARROLLO LOCAL,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
LICENCIADA EN PSICOLOGIA CLINICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN ODONTOPEDIATRIA,UNIVERSIDAD DEL ZULIA,CUARTO NIVEL
ESPECIALISTA DE PRIMER GRADO EN REUMATOLOGIA,UNIVERSIDAD DE CIENCIAS MÉDICAS DE LA HABANA,CUARTO NIVEL
DIPLOMA SUPERIOR EN GESTION DE DESARROLLO DE LOS SERVICIOS DE SALUD,UNIVERSIDAD TECNICA DE BABAHOYO,CUARTO NIVEL
DOCTORA EN MEDICINA Y CIRUGIA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
ESPECIALISTA DE PRIMER GRADO EN ENDOCRINOLOGIA,UNIVERSIDAD DE CIENCIAS MÉDICAS DE LA HABANA,CUARTO NIVEL
MAGISTER EN GERENCIA EN SALUD PARA EL DESARROLLO LOCAL,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD TECNICA DEL NORTE,TERCER NIVEL
TECNICO/A SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO STANFORD,NIVEL TECNICO O TECNOLOGICO SUPERIOR
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION DE UNIDADES DE ENFERMERIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
PSICOLOGA INFANTIL Y PSICORREHABILITADORA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ESPECIALIZACAO EM ORTODONTIA,FACULDADE DE ENSINO SUPERIOR BLAURO CARDOSO DE MATTOS (FASERRA),CUARTO NIVEL
OBSTETRIZ,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MEDICO,UNIVERSIDAD INTERNACIONAL DEL ECUADOR,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
ESPECIALIZACION EN IMPLANTOLOGIA ORAL Y RECONSTRUCTIVA,UNIVERSIDADE CIDADE DE SAO PAULO,CUARTO NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
ESPECIALISTA EN MEDICINA INTERNA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
LICENCIADA EN CIENCIAS DE LA SALUD EN TERAPIA FISICA Y DEPORTIVA,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
ESPECIALISTA EN OTORRINOLARINGOLOGIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO EN ENFERMERIA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,TERCER NIVEL
MASTER UNIVERSITARIO EN NEUROPSICOLOGIA Y EDUCACION,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
MAGISTER EN GERENCIA HOSPITALARIA Y ADMINISTRACION DE HOSPITALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
TECNICO/A SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO STANFORD,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MAGISTER EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN MEDICINA INTERNA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
RESIDENCIA MEDICA EN PEDIATRIA,SECRETARIA DE SALUD DE MALVINAS ARGENTINA,CUARTO NIVEL
MEDICO CIRUJANO,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,TERCER NIVEL
PSICOLOGO CLINICO,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
ESPECIALISTA EN ORTODONCIA,UNIVERSIDAD CATOLICA DE CUENCA,CUARTO NIVEL
ESPECIALISTA DE PRIMER GRADO EN ONCOLOGIA MEDICA,UNIVERSIDAD DE CIENCIAS MÉDICAS DE LA HABANA,CUARTO NIVEL
LICENCIADO/A EN OPTOMETRIA,UNIVERSIDAD TECNICA DE MANABI,TERCER NIVEL
